optCostRatio;nn_cmp_nograsp;nn_cmp_almostbest;nn_cmp_random;idxExtended;em_cmp_nograsp;em_cmp_almostbest;em_cmp_random;cmp_nn;cmp_em;cmp_iters_nn;cmp_iters_em;idx;n
1;1.0000;1.0000;1.0000;0;1.0000;1.0000;1.0000;1;1;10.6281;1;0;48
1;1.0000;1.0000;1.0000;1;1.0000;1.0000;1.0000;1;1;10.7702;1;1;51
1;1.0000;1.0000;1.0000;2;1.0000;1.0000;1.0000;1;1;11.2383;1;2;52
1;1.0000;1.0000;1.0001;3;1.0000;1.0000;1.0000;1;1;16.4774;1;3;70
1;1.0000;1.0000;1.0001;4;1.0000;1.0000;1.0000;1;1;18.4083;1;4;76
1;1.0000;1.0000;1.0003;5;1.0000;1.0000;1.0000;1;1;18.0931;1;5;76
1;1.0000;1.0000;1.0011;6;1.0000;1.0000;1.0000;1;1;30.7047;1;6;99
1;1.0000;1.0000;1.0015;7;1.0000;1.0000;1.0006;1;1;32.5424;1;7;100
1;1.0000;1.0000;1.0019;8;1.0001;1.0000;1.0007;1;1;32.8547;1;8;100
1;1.0000;1.0000;1.0030;9;1.0003;1.0000;1.0009;1;1;32.5894;1;9;100
1;1.0000;1.0000;1.0035;10;1.0005;1.0000;1.0010;1;1;32.9298;1;10;100
1;1.0002;1.0000;1.0037;11;1.0007;1.0000;1.0012;1;1;32.6327;1;11;100
1;1.0003;1.0000;1.0039;12;1.0011;1.0000;1.0013;1;1;32.5882;1;12;100
1;1.0006;1.0000;1.0039;13;1.0014;1.0000;1.0013;1;1;32.2392;1;13;101
1;1.0013;1.0000;1.0039;14;1.0015;1.0000;1.0014;1;1;32.1522;1;14;105
1;1.0014;1.0000;1.0041;15;1.0016;1.0000;1.0017;1.0005;1;35.546;1;15;107
1;1.0015;1.0000;1.0041;16;1.0016;1.0000;1.0018;1.0013;1;45.7855;1;16;124
1;1.0015;1.0000;1.0044;17;1.0022;1.0000;1.0018;1.0036;1;46.6465;1;17;127
1;1.0025;1.0000;1.0044;18;1.0028;1.0000;1.0018;1.0039;1;43.3914;1;18;130
1;1.0028;1.0000;1.0048;19;1.0029;1.0000;1.0018;1.0054;1;48.9691;1;19;136
1;1.0029;1.0000;1.0049;20;1.0034;1.0000;1.0021;1.0055;1;55.9624;1;20;144
1;1.0031;1.0000;1.0049;21;1.0034;1.0000;1.0022;1.0068;1;53.599;1;21;150
1;1.0035;1.0000;1.0049;22;1.0035;1.0000;1.0024;1.0069;1;53.7196;1;22;150
1;1.0036;1.0000;1.0052;23;1.0035;1.0000;1.0025;1.0073;1;55.2756;1;23;150
1;1.0036;1.0000;1.0052;24;1.0037;1.0000;1.0025;1.0077;1;61.3375;1;24;152
1;1.0037;1.0000;1.0053;25;1.0038;1.0000;1.0026;1.009;1;55.609;1;25;159
1;1.0038;1.0000;1.0053;26;1.0040;1.0000;1.0028;1.0095;1;77.9296;1;26;195
1;1.0039;1.0000;1.0054;27;1.0045;1.0000;1.0029;1.0103;1;87.0181;1;27;198
1;1.0042;1.0000;1.0054;28;1.0052;1.0000;1.0029;1.0104;1;95.5507;1;28;200
1;1.0043;1.0000;1.0055;29;1.0055;1.0000;1.0029;1.0109;1;92.7871;1;29;200
1;1.0049;1.0000;1.0057;30;1.0056;1.0000;1.0029;1.0132;1;108.6396;1;30;225
1;1.0066;1.0000;1.0057;31;1.0057;1.0000;1.0030;1.0137;1;93.7558;1;31;225
1;1.0067;1.0000;1.0058;32;1.0061;1.0000;1.0034;1.0141;1;109.5696;1;32;226
1;1.0104;1.0000;1.0059;33;1.0069;1.0000;1.0034;1.015;1;134.2265;1;33;262
1;1.0109;1.0000;1.0062;34;1.0071;1.0000;1.0035;1.0156;1;155.4504;1;34;264
1;1.0110;1.0000;1.0064;35;1.0082;1.0000;1.0040;1.016;1;163.4221;1;35;280
1;1.0113;1.0000;1.0065;36;1.0087;1.0000;1.0040;1.0161;1;146.6459;1;36;299
1;1.0129;1.0000;1.0066;37;1.0088;1.0000;1.0041;1.0182;1;173.2329;1;37;318
1;1.0140;1.0000;1.0066;38;1.0090;1.0000;1.0044;1.0187;1;283.1482;1;38;400
1;1.0151;1.0000;1.0069;39;1.0105;1.0000;1.0055;1.019;1;290.5911;1;39;417
1;1.0165;1.0000;1.0070;40;1.0109;1.0000;1.0057;1.0191;1;286.9635;1;40;439
1;1.0179;1.0000;1.0072;41;1.0118;1.0000;1.0058;1.0194;1;301.0807;1;41;442
1;1.0189;1.0000;1.0073;42;1.0118;1.0000;1.0058;1.0215;1;352.357;1;42;493
1;1.0192;1.0000;1.0079;43;1.0128;1.0000;1.0060;1.0256;1;424.2;1;43;532
1;1.0196;1.0000;1.0084;44;1.0135;1.0000;1.0063;1.0263;1;467.3736;1;44;574
1;1.0205;1.0000;1.0086;45;1.0137;1.0000;1.0063;1.0274;1;446.6472;1;45;575
1;1.0216;1.0000;1.0088;46;1.0160;1.0000;1.0066;1.0288;1;554.918;1;46;654
1;1.0225;1.0000;1.0088;47;1.0163;1.0000;1.0068;1.0289;1;557.9564;1;47;657
1;1.0253;1.0000;1.0090;48;1.0164;1.0000;1.0070;1.0289;1;645.3879;1;48;724
1;1.0274;1.0000;1.0094;49;1.0165;1.0000;1.0070;1.0297;1;705.153;1;49;783
1;1.0288;1.0000;1.0098;50;1.0168;1.0000;1.0070;1.0301;1;1017.2363;1;50;1000
1;1.0291;1.0000;1.0102;51;1.0171;1.0000;1.0074;1.0302;1;965.6082;1;51;1002
1;1.0325;1.0000;1.0108;52;1.0179;1.0000;1.0079;1.0308;1;1010.7571;1;52;1060
1;1.0360;1.0000;1.0108;53;1.0198;1.0000;1.0080;1.0316;1;1008.7915;1;53;1084
1;1.0368;1.0000;1.0110;54;1.0206;1.0000;1.0089;1.0319;1;1118.9618;1;54;1173
1;1.0384;1.0000;1.0126;55;1.0215;1.0004;1.0090;1.0343;1.002;1343.7955;1;55;1291
1;1.0392;1.0000;1.0128;56;1.0235;1.0006;1.0090;1.0344;1.0033;1297.6242;1;56;1304
1;1.0421;1.0000;1.0135;57;1.0241;1.0011;1.0095;1.0345;1.0055;1376.4;1;57;1323
1;1.0431;1.0000;1.0136;58;1.0259;1.0011;1.0098;1.0418;1.0073;1363.5808;1;58;1379
1;1.0464;1.0000;1.0137;59;1.0273;1.0018;1.0099;1.0425;1.0107;1434.4024;1;59;1400
1;1.0526;1.0000;1.0137;60;1.0290;1.0019;1.0114;1.0446;1.013;1487.094;1;60;1432
1;1.0528;1.0000;1.0143;61;1.0292;1.0029;1.0117;1.0507;1.0138;1644.5224;1;61;1577
1;1.0561;1.0000;1.0158;62;1.0309;1.0031;1.0125;1.0539;1.0159;1716.3692;1;62;1655
1;1.0587;1.0000;1.0163;63;1.0315;1.0032;1.0131;1.0561;1.0189;1854.7086;1;63;1748
1;1.0654;1.0000;1.0165;64;1.0327;1.0050;1.0155;1.0579;1.0269;1933.627;1;64;1817
1;1.0690;1.0000;1.0169;65;1.0337;1.0071;1.0156;1.0606;1.0335;2035.9527;1;65;1889
1;1.0697;1.0000;1.0169;66;1.0358;1.0088;1.0157;1.0701;1.039;2311.191;1;66;2103
1;1.0713;1.0000;1.0176;67;1.0368;1.0094;1.0165;1.0793;1.0401;2408.6801;1;67;2152
1;1.0720;1.0000;1.0179;68;1.0413;1.0104;1.0194;1.0852;1.042;2632.8336;1;68;2319
1;1.0723;1.0006;1.0196;69;1.0707;1.0119;1.0194;1.1005;1.0515;2646.4812;1;69;2392
1;1.0770;1.0008;1.0203;70;;;;;;;;;
1;1.0789;1.0013;1.0217;71;;;;;;;;;
1;1.0866;1.0015;1.0220;72;;;;;;;;;
1;1.0869;1.0016;1.0245;73;;;;;;;;;
1;1.0929;1.0022;1.0259;74;;;;;;;;;
1;1.0966;1.0023;1.0276;75;;;;;;;;;
1;1.0999;1.0035;1.0276;76;;;;;;;;;
1;1.1009;1.0035;1.0284;77;;;;;;;;;
1;1.1040;1.0051;1.0292;78;;;;;;;;;
1;1.1099;1.0057;1.0309;79;;;;;;;;;
1;1.1159;1.0057;1.0343;80;;;;;;;;;
1;1.1188;1.0106;1.0344;81;;;;;;;;;
1;1.1302;1.0109;1.0412;82;;;;;;;;;
